Laptop,1200,15
Teclado,25,80
Mouse,15,120
Monitor,220,35
Impresora,180,20
Disco Duro,75,50
SSD,110,40
Memoria RAM,60,70
Placa Madre,150,30
Procesador,300,25
Tarjeta Gráfica,450,10
Fuente de Poder,65,45
Gabinete,90,20
Webcam,40,60
Audífonos,35,90
Parlantes,50,55
Microfono,70,40
Silla Gamer,200,18
Router,55,25
Switch,35,30
Cámara IP,100,15
Cargador Universal,20,80
Batería Externa,45,50
Smartphone,650,22
Tablet,400,18
Smartwatch,150,30
Cables HDMI,10,100
Adaptador USB,12,95
Base Refrigerante,25,40
Soporte Monitor,30,28
